station_id,city_name,date,season,avg_temp_c,min_temp_c,max_temp_c,precipitation_mm,snow_depth_mm,avg_wind_dir_deg,avg_wind_speed_kmh,peak_wind_gust_kmh,avg_sea_level_pres_hpa,sunshine_total_min
17155,Kütahya,2008-07-27,Summer,25.7,12.6,,,,,,,,
06720,Sion,1965-07-22,Summer,14.1,11.7,20.4,4.5,0.0,,,,,
81405,Cayenne,1955-09-04,Autumn,,21.2,31.0,0.0,,,,,,
62318,Damanhur,1989-02-01,Winter,12.3,7.7,16.0,0.3,,,,,,
76225,Chihuahua,2019-07-23,Summer,29.0,20.9,35.0,0.0,,62.0,9.6,,1009.2,
66160,Luanda,1968-05-01,Autumn,26.4,22.8,30.0,0.0,,,,,,
27719,Tula,1999-08-29,Summer,15.6,10.2,20.9,7.9,,,,,,
15420,Bucharest,1943-02-17,Winter,,-4.0,7.0,,,,,,,
13274,Belgrade,1969-12-10,Winter,,-1.9,0.0,1.4,,,,,,
35001,Samara,2013-05-22,Spring,11.9,3.4,,0.0,,,,,,
07280,Dijon,1995-06-08,Summer,13.3,,17.2,0.8,,,,,,
78663,San Salvador,2001-04-28,Spring,26.6,20.4,34.0,,,,,,,
29866,Abakan,1966-10-29,Autumn,7.1,2.5,11.5,0.0,,,,,,
63740,Nyeri,2016-02-15,Summer,19.4,12.0,,,,,,,,
85242,Oruro,1991-02-05,Summer,12.3,3.9,,,,,,,,
61995,Port Louis,1997-04-09,Autumn,22.4,19.1,26.3,0.0,,,,,,
82193,Belém,2008-09-18,Spring,27.4,24.6,32.2,0.0,,,6.0,,,
35229,Aktobe,1928-01-24,Winter,-17.4,-20.9,-13.5,0.0,,,,,,
23330,Salekhard,1902-09-01,Autumn,7.1,5.9,,0.0,,,,,,
72658,Saint Paul,2005-01-03,Winter,-12.2,-15.6,-8.9,0.0,25.0,354.0,11.9,,1032.2,0.0
02562,Linköping,1980-05-24,Spring,9.8,1.4,11.6,1.4,0.0,,,,,
47112,Kaesong,1953-06-30,Summer,,18.5,27.0,0.0,,,,,,
62016,Misrata,1992-02-15,Winter,14.0,10.5,16.1,0.3,,,,,,
26666,Vitebsk,1959-01-14,Winter,,,,0.0,,,,,,
78526,San Juan,1997-12-28,Winter,,22.8,31.7,0.0,0.0,,6.5,,,
34109,Kursk,1988-07-01,Summer,,,,0.0,,,,,,
53772,Taiyuan,1976-03-26,Spring,5.0,-2.0,12.6,0.0,,,,,,
80259,Cali,1966-01-05,Winter,25.1,17.8,,,,,,,,
07149,Saint-Denis,1977-04-26,Spring,13.4,7.3,20.6,0.8,,229.0,20.4,,,
61075,Sokoto,1987-12-11,Winter,26.8,17.8,33.8,,,,,,,
38507,Türkmenbaşy,1942-03-08,Spring,3.4,0.1,6.7,10.4,,,,,,
68442,Bloemfontein,2022-09-21,Spring,11.8,3.6,21.5,0.0,,130.0,6.4,,1021.0,
17090,Sivas,1974-01-01,Winter,-7.9,-9.9,0.2,,,,,,,
85799,Puerto Montt,2015-12-13,Summer,11.9,9.8,15.4,13.7,,141.0,11.5,,1010.6,
48376,Tak,1991-03-11,Spring,31.6,22.5,39.4,0.0,,,,,,
31510,Blagoveshchensk,1946-11-25,Autumn,-13.9,-20.9,-9.3,0.0,,,,,,
06280,Groningen,2014-07-10,Summer,22.2,16.4,27.3,0.0,0.0,37.0,9.5,,1009.8,
23933,Khanty-Mansiysk,1954-12-18,Winter,-32.0,-34.9,-27.7,0.0,,,,,,
67323,Maxixe,1959-05-25,Autumn,,19.0,28.8,0.0,,,,,,
11120,Innsbruck,1911-01-31,Winter,,-16.1,-5.0,0.0,,,,,,
40785,Qom,1978-04-15,Spring,17.2,6.0,24.0,,,,,,,
78482,Barahona,2002-08-17,Summer,31.2,25.0,33.8,,,,,,,
01008,Longyearbyen,1979-03-12,Spring,-9.6,-18.9,-7.4,0.0,240.0,,,,,
43279,Chennai,2013-01-11,Winter,25.3,21.0,31.5,,,,,,,
86530,Durazno,2013-07-10,Winter,15.4,13.0,,15.0,,,,,,
42273,Nepalgunj,1957-09-30,Autumn,,,,0.0,,,,,,
60150,Meknes,2012-09-18,Autumn,25.3,21.0,30.5,,,,,,,
61085,Diffa,1991-06-23,Summer,31.7,23.4,40.2,0.0,,,,,,
86530,Durazno,2012-05-28,Autumn,19.6,16.2,,0.5,,,,,,
33946,Simferopol,1977-07-15,Summer,20.0,13.9,25.6,0.0,,,,,,
76685,Puebla Garcia,1992-05-05,Spring,16.5,9.0,26.3,0.0,,,,,,
84401,Piura,2020-10-13,Spring,21.8,17.9,28.2,,,186.0,13.0,,1012.4,
33562,Vinnytsia,1977-12-27,Winter,-3.1,-8.2,0.2,1.6,,,,,,
82579,Teresina,1961-03-07,Autumn,,,,0.0,,,,,,
72306,Raleigh,1971-08-19,Summer,,19.4,31.1,0.0,0.0,,,,,612.0
86440,Melo,2006-05-04,Autumn,11.3,,21.0,,,,,,,
65439,Sunyani,2016-05-24,Spring,24.7,21.8,,29.0,,,,,,
80211,Armenia,1973-09-06,Autumn,21.2,14.0,,55.1,,,,,,
43279,Chennai,1974-07-24,Summer,29.6,26.0,,0.0,,,,,,
17300,Antalya,1982-03-27,Spring,11.2,,,0.0,,,,,,
33041,Gomel,1982-10-08,Autumn,8.6,4.8,10.6,1.0,,,,,,
48426,Lopburi,1984-12-19,Winter,28.4,,33.3,0.0,,,,,,
62463,Hurghada,2005-04-26,Spring,23.3,17.2,28.2,0.0,,,,,,
56778,Kunming,2009-03-11,Spring,17.7,12.4,25.2,0.0,,248.0,21.2,,,
86490,Mercedes,1982-04-25,Autumn,,11.4,25.7,0.0,,,,,,
96973,Sumenep,1983-07-24,Winter,27.6,,,0.0,,,,,,
27402,Tver,1943-08-08,Summer,,,,9.5,,,,,,
80035,Riohacha,1977-09-26,Autumn,29.0,24.0,32.0,0.0,,,,,,
06720,Sion,1951-03-17,Spring,,,,12.9,0.0,,,,,
61075,Sokoto,1984-01-09,Winter,23.0,16.4,30.0,,,,,,,
28698,Omsk,1920-06-02,Summer,16.8,10.4,,0.0,,,,,,
86068,Mariscal Estigarribia,1983-07-14,Winter,,,,1.2,,,,,,
60745,Gafsa,2013-01-05,Winter,12.7,6.3,17.9,0.0,,,,,,
36177,Semey,1971-11-16,Autumn,2.4,-2.2,8.5,3.5,,,,,,
42807,Kolkata,1920-05-23,Spring,,,,0.0,,,,,,
80410,Barquisimeto,2014-07-21,Summer,23.3,,,,,,,,,
36870,Almaty,2015-09-28,Autumn,4.3,3.0,6.5,,,,10.1,,,
